timestep,decision,prb_decision,policy_decision
1,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
2,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
3,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
4,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
5,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
6,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
7,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
8,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
9,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
10,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
11,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
12,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
13,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
14,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
15,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
16,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
17,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
18,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
19,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
20,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
21,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
22,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
23,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
24,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
25,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
26,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
27,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
28,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
29,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
30,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
31,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
32,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
33,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
34,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
35,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
36,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
37,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
38,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
39,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
40,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
41,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
42,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
43,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
44,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
45,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
46,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
47,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
48,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
49,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
50,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
51,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
52,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
53,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
54,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
55,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
56,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
57,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
