timestep,decision,prb_decision,policy_decision
1,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
2,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
3,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
4,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
5,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
6,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
7,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
8,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
9,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
10,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
11,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
12,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
13,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
14,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
15,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
16,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
17,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
18,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
19,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
20,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
21,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
22,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
23,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
24,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
25,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
26,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
27,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
28,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
29,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
30,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
31,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
32,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
33,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
34,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
35,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
36,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
37,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
38,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
39,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
40,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
41,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
42,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
43,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
