timestep,decision,prb_decision,policy_decision
1,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
2,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
3,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
4,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
5,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
6,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
7,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
8,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
9,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
10,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
11,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
12,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
13,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
14,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
15,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
16,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
17,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
18,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
19,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
20,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
21,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
22,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
23,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
24,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
25,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
26,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
27,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
28,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
29,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
30,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
31,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
32,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
33,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
34,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
35,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
36,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
37,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
38,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
39,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
40,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
41,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
42,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
43,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
44,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
45,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
46,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
47,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
48,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
