timestep,decision,prb_decision,policy_decision
1,"(18, 9, 23, 1, 2, 0)","[18, 9, 23]","[1, 2, 0]"
2,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
3,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
4,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
5,"(12, 15, 23, 1, 1, 0)","[12, 15, 23]","[1, 1, 0]"
6,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
7,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
8,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
9,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
10,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
11,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
12,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
13,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
14,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
15,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
16,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
17,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
18,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
19,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
20,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
21,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
22,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
23,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
24,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
25,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
26,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
27,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
28,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
29,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
30,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
31,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
32,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
33,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
34,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
35,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
36,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
37,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
38,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
39,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
40,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
41,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
42,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
43,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
44,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
45,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
46,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
47,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
48,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
49,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
50,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
51,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
52,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
53,"(6, 9, 35, 1, 2, 0)","[6, 9, 35]","[1, 2, 0]"
54,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
55,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
56,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
57,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
58,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
59,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
60,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
61,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
62,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
63,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
64,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
65,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
66,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
67,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
68,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
69,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
70,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
71,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
72,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
73,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
74,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
75,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
76,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
77,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
78,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
79,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
80,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
81,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
82,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
83,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
84,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
85,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
86,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
87,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
88,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
89,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
90,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
91,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
92,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
93,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
94,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
95,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
96,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
97,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
98,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
99,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
100,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
101,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
102,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
103,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
104,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
105,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
106,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
107,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
108,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
109,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
110,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
111,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
112,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
113,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
114,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
115,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
116,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
117,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
118,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
119,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
120,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
121,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
122,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
