timestep,decision,prb_decision,policy_decision
1,"(6, 9, 35, 2, 1, 0)","[6, 9, 35]","[2, 1, 0]"
2,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
3,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
4,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
5,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
6,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
7,"(6, 9, 35, 2, 2, 0)","[6, 9, 35]","[2, 2, 0]"
8,"(18, 9, 23, 2, 2, 0)","[18, 9, 23]","[2, 2, 0]"
9,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
10,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
11,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
12,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
13,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
14,"(12, 15, 23, 2, 0, 0)","[12, 15, 23]","[2, 0, 0]"
15,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
16,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
17,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
18,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
19,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
20,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
21,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
22,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
23,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
24,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
25,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
26,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
27,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
28,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
29,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
30,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
31,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
32,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
33,"(24, 15, 11, 2, 1, 0)","[24, 15, 11]","[2, 1, 0]"
34,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
35,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
36,"(6, 9, 35, 0, 0, 0)","[6, 9, 35]","[0, 0, 0]"
37,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
38,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
39,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
40,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
41,"(6, 9, 35, 1, 0, 0)","[6, 9, 35]","[1, 0, 0]"
42,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
43,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
44,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
45,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
46,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
47,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
48,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
49,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
50,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
51,"(12, 15, 23, 2, 0, 0)","[12, 15, 23]","[2, 0, 0]"
52,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
53,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
54,"(12, 15, 23, 1, 2, 0)","[12, 15, 23]","[1, 2, 0]"
